Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimes,codeRegion3d,code_region,lib_region,ARTHAUD,DUPONT-AIGNAN,HIDALGO,JADOT,LASSALLE,LE PEN,MACRON,MÉLENCHON,POUTOU,PÉCRESSE,ROUSSEL,ZEMMOUR,url_libe
5045,2272,2773,47,25,2701,975,ZS,Saint-Pierre-et-Miquelon,22,82,75,116,108,459,534,1105,50,51,19,80,
9528,4125,5403,44,0,5359,986,ZW,Wallis et Futuna,98,244,118,72,78,579,2115,501,48,1354,34,118,
24414,15812,8602,150,84,8368,977,ZX,Saint-Martin/Saint-Barthélemy,41,339,92,247,208,1445,2070,2354,63,354,48,1107,
92187,55023,37164,923,1190,35051,006,ZM,Mayotte,430,530,318,295,359,14958,5936,8399,328,2810,206,482,
92187,55023,37164,923,1190,35051,976,ZM,Mayotte,430,530,318,295,359,14958,5936,8399,328,2810,206,482,
102993,65754,37239,825,553,35861,003,ZC,Guyane,297,717,535,940,516,6334,5101,18143,462,997,246,1573,
102993,65754,37239,825,553,35861,973,ZC,Guyane,297,717,535,940,516,6334,5101,18143,462,997,246,1573,
205576,142121,63455,1504,1286,60665,987,ZP,Polynésie française,819,1983,874,2166,618,11797,24418,8035,459,4809,376,4311,
218781,145814,72967,1758,709,70500,988,ZN,Nouvelle-Calédonie,565,2697,963,2161,1031,13273,28561,9711,560,4144,399,6435,
242873,90467,152406,2475,1994,147937,094,94,Corse,455,2601,1592,4801,15408,42284,26794,19779,1374,9360,4553,18936,
304594,174588,130006,4001,3056,122949,002,ZB,Martinique,1447,2989,3935,1978,1162,16495,20043,65292,977,4731,747,3153,
316023,174592,141431,2719,3627,135085,001,ZA,Guadeloupe,1084,2114,2266,1927,1033,24204,18137,75862,713,3979,668,3098,
675535,313155,362380,7327,8289,346764,004,ZD,La Réunion,3538,8338,5549,7994,4844,85770,62541,139603,2705,9738,3074,13070,
675535,313155,362380,7327,8289,346764,974,ZD,La Réunion,3538,8338,5549,7994,4844,85770,62541,139603,2705,9738,3074,13070,
1992408,456672,1535736,26271,11774,1497691,027,27,Bourgogne-Franche-Comté,10642,38691,26543,60227,49555,409633,394120,277899,12737,76658,33931,107055,
